ID,M,k_max_up,k_max_down,fre,cond,cond_coarse,cond_partmax,cond_partmax_dyn
1,512,16,0,0,7.844396113087105e-15,2981.4156944362476,660.8309448884196,9049.872156512702,9049.872156512702
1,512,16,0,1,1.9841260809750618e-14,2981.4156944362476,1043.0782227313866,9049.872156512702,730.2885124091822
1,512,16,0,2,1.9746714179367604e-14,2981.4156944362476,1065.8837962983098,9049.872156512702,1177.3969186432184
1,512,16,0,3,8.207129140575778e-15,2981.4156944362476,1065.4425490629033,9049.872156512702,1177.3969186432184
1,512,16,0,4,1.1730776301342777e-14,2981.4156944362476,1065.369512040214,9049.872156512702,1177.3969186432184
1,512,16,0,5,1.5150306610499583e-14,2981.4156944362476,1065.3684504149053,9049.872156512702,1177.3969186432184
1,512,16,1,0,2.8427134206549183e-14,2981.4156944362476,407.96424149912883,9049.872156512702,461.300497064121
1,512,16,1,1,1.0259548558072e-13,2981.4156944362476,638.8428318659081,9049.872156512702,730.2885124091822
1,512,16,1,2,5.36070845345217e-14,2981.4156944362476,1007.3591594501454,9049.872156512702,529.5041212760901
1,512,16,1,3,7.997610177629132e-15,2981.4156944362476,1007.3592568749507,9049.872156512702,529.5041212760901
1,512,16,1,4,1.3151954223600233e-14,2981.4156944362476,928.1298629402783,9049.872156512702,529.5041212760901
1,512,16,1,5,1.2605386527451039e-14,2981.4156944362476,969.0546428033213,9049.872156512702,668.9658807316437
1,512,16,2,0,3.1473358040082476e-14,2981.4156944362476,685.624896687963,9049.872156512702,1322.8899639656488
1,512,16,2,1,2.71186205467156e-14,2981.4156944362476,407.96425094516513,9049.872156512702,1322.889562665553
1,512,16,2,2,7.395912581117529e-14,2981.4156944362476,642.2976594059736,9049.872156512702,476.88202823061664
1,512,16,2,3,7.71862222256412e-15,2981.4156944362476,634.2670181034956,9049.872156512702,730.2885124091822
1,512,16,2,4,7.44195151762818e-15,2981.4156944362476,634.2788724508155,9049.872156512702,476.88202823061664
1,512,16,2,5,7.611903463207717e-15,2981.4156944362476,610.0691708951206,9049.872156512702,668.9658807316437
1,512,16,3,0,1.2346842343189992e-13,2981.4156944362476,983.7981941763921,9049.872156512702,1322.8899639656488
1,512,16,3,1,3.1319682639233624e-14,2981.4156944362476,1043.9215497159098,9049.872156512702,1322.889562665553
1,512,16,3,2,2.851112891258039e-14,2981.4156944362476,419.4813847135595,9049.872156512702,1059.475840416216
1,512,16,3,3,7.669363945848839e-15,2981.4156944362476,263.7781558475435,9049.872156512702,299.1746843499446
1,512,16,3,4,6.989584572089624e-15,2981.4156944362476,352.0235885650263,9049.872156512702,299.1746843499446
1,512,16,3,5,7.917588800948335e-15,2981.4156944362476,352.0543298080051,9049.872156512702,1059.475840416216
1,512,16,4,0,8.628738356123823e-15,2981.4156944362476,657.1933422178206,9049.872156512702,3870.6710088680693
1,512,16,4,1,8.021324736430673e-15,2981.4156944362476,1189.7691288859926,9049.872156512702,3871.1420927912545
1,512,16,4,2,7.928110843677532e-15,2981.4156944362476,1123.8424925983413,9049.872156512702,3871.1420927912545
1,512,16,4,3,3.0931480933979226e-14,2981.4156944362476,1066.4401263185011,9049.872156512702,1177.3969186432184
1,512,16,4,4,7.854678530528986e-15,2981.4156944362476,1076.1150208829044,9049.872156512702,1177.3969186432184
1,512,16,4,5,7.67767681256268e-15,2981.4156944362476,1065.3985084967019,9049.872156512702,1177.3969186432184
1,512,16,5,0,8.340172428466317e-15,2981.4156944362476,657.1933493055517,9049.872156512702,3868.3418851493716
1,512,16,5,1,7.35804694095231e-15,2981.4156944362476,1043.5277522122365,9049.872156512702,3870.6710088680693
1,512,16,5,2,7.821280428256437e-15,2981.4156944362476,1214.9659097643848,9049.872156512702,3870.6710088680693
1,512,16,5,3,1.2336322017407224e-13,2981.4156944362476,1210.6414901750838,9049.872156512702,1177.3969186432184
1,512,16,5,4,2.6758986884172674e-14,2981.4156944362476,1076.1150213450233,9049.872156512702,1177.3969186432184
1,512,16,5,5,7.426422217022691e-14,2981.4156944362476,1065.398505200097,9049.872156512702,1177.3969186432184
1,512,17,0,0,6.56351059828647e-15,2981.4156944362476,934.3301619121246,2118.9329129260013,2118.9329129260013
1,512,17,0,1,2.148429433366434e-14,2981.4156944362476,1079.4388227354686,2118.9329129260013,2118.9329129260013
1,512,17,0,2,8.68105178466866e-15,2981.4156944362476,1079.2747300204467,2118.9329129260013,2096.373295928206
1,512,17,0,3,6.438836501315641e-15,2981.4156944362476,1217.094582541329,2118.9329129260013,1177.3969186432184
1,512,17,0,4,1.3302424217369303e-14,2981.4156944362476,1000.8203272223665,2118.9329129260013,1177.3969186432184
1,512,17,0,5,7.533978374509707e-15,2981.4156944362476,214.41603534258869,2118.9329129260013,2853.6377545764462
1,512,17,1,0,2.0171632220935018e-14,2981.4156944362476,585.696206395625,2118.9329129260013,938.6563755769757
1,512,17,1,1,1.2502951169418019e-14,2981.4156944362476,1056.8560905768138,2118.9329129260013,529.5041212760901
1,512,17,1,2,6.3314564454462274e-15,2981.4156944362476,1056.6423252724148,2118.9329129260013,1051.9648135038187
1,512,17,1,3,8.646437166819069e-15,2981.4156944362476,1056.4646895168346,2118.9329129260013,1051.9648135038187
1,512,17,1,4,1.025408056284075e-14,2981.4156944362476,1189.0858711005353,2118.9329129260013,592.1302666922425
1,512,17,1,5,6.321247608893455e-15,2981.4156944362476,1151.0989506204428,2118.9329129260013,2578.100989623463
1,512,17,2,0,5.227060208602904e-15,2981.4156944362476,207.73498074733146,2118.9329129260013,938.6563755765693
1,512,17,2,1,7.846249059123258e-15,2981.4156944362476,584.5372290253578,2118.9329129260013,516.2441005827287
1,512,17,2,2,1.1010032355835109e-14,2981.4156944362476,585.6418224582227,2118.9329129260013,516.2441005827287
1,512,17,2,3,7.210306690008318e-15,2981.4156944362476,585.5309693265544,2118.9329129260013,768.8913171833332
1,512,17,2,4,6.488792706563309e-15,2981.4156944362476,666.1500701320575,2118.9329129260013,768.8913171833332
1,512,17,2,5,6.572209541637567e-15,2981.4156944362476,1413.0758541762032,2118.9329129260013,2578.100989623463
1,512,17,3,0,6.370873763832681e-15,2981.4156944362476,953.5674129088603,2118.9329129260013,2191.683418147346
1,512,17,3,1,9.226915471309284e-15,2981.4156944362476,207.73819881199472,2118.9329129260013,2191.683418147346
1,512,17,3,2,6.448800659643513e-15,2981.4156944362476,343.51161050166866,2118.9329129260013,2096.373295928206
