ID,N,lim_lo,lim_hi,fre,cond_coarse
1,512,16,22,8.024308e-15,1.193812e+03
1,512,16,23,7.940469e-15,1.193812e+03
1,512,16,24,7.900115e-15,1.189092e+03
1,512,16,25,5.437884e-14,1.042947e+03
1,512,16,26,5.439205e-14,1.000020e+03
1,512,16,27,5.437862e-14,1.000020e+03
1,512,16,28,6.664273e-15,9.332362e+02
1,512,16,29,6.665760e-15,9.332362e+02
1,512,16,30,6.626341e-15,9.332362e+02
1,512,16,31,6.611750e-15,9.332362e+02
1,512,16,32,9.858825e-15,9.332362e+02
1,512,16,33,9.787901e-15,9.332561e+02
1,512,16,34,9.750376e-15,9.725464e+02
1,512,16,35,9.747369e-15,9.725464e+02
1,512,16,36,9.747369e-15,9.725464e+02
1,512,16,37,6.997655e-15,9.725464e+02
1,512,16,38,6.997655e-15,9.725464e+02
1,512,16,39,6.997655e-15,9.725464e+02
1,512,16,40,8.225359e-15,7.441390e+01
1,512,16,41,8.294514e-15,7.679769e+01
1,512,16,42,8.294514e-15,7.679769e+01
1,512,16,43,8.117624e-15,1.035220e+02
1,512,16,44,8.117624e-15,1.035220e+02
1,512,16,45,7.986081e-15,1.035219e+02
1,512,16,46,8.731621e-15,1.422341e+02
1,512,16,47,8.042631e-15,1.035219e+02
1,512,16,48,8.042631e-15,1.035219e+02
1,512,16,49,8.529598e-15,8.779785e+01
1,512,16,50,7.840874e-15,1.035219e+02
1,512,16,51,7.798194e-15,1.035219e+02
1,512,16,52,7.950466e-15,1.035219e+02
1,512,16,53,7.243467e-15,1.035219e+02
1,512,16,54,7.243467e-15,1.035219e+02
1,512,16,55,7.243467e-15,1.035219e+02
1,512,16,56,7.243467e-15,1.035219e+02
1,512,16,57,7.190195e-15,9.131759e+01
1,512,16,58,7.190195e-15,9.131759e+01
1,512,16,59,7.190195e-15,9.131759e+01
1,512,16,60,7.817016e-15,9.131759e+01
1,512,16,61,7.817016e-15,9.131759e+01
1,512,16,62,7.817016e-15,9.131759e+01
1,512,16,63,8.001482e-15,9.131759e+01
1,512,16,64,8.001482e-15,9.131759e+01
1,512,16,65,7.884030e-15,9.131759e+01
1,512,16,66,7.884030e-15,9.131759e+01
1,512,16,67,7.884030e-15,9.131759e+01
1,512,16,68,7.912870e-15,9.131759e+01
1,512,16,69,7.912870e-15,9.131759e+01
1,512,16,70,7.912870e-15,9.131759e+01
1,512,16,71,7.912870e-15,9.131759e+01
1,512,16,72,7.872870e-15,9.131759e+01
1,512,17,23,6.487685e-15,1.189041e+03
1,512,17,24,7.062778e-15,1.189041e+03
1,512,17,25,5.428331e-14,1.120130e+03
1,512,17,26,6.346360e-15,1.189084e+03
1,512,17,27,5.700472e-14,1.000014e+03
1,512,17,28,6.960277e-15,9.332419e+02
1,512,17,29,6.960282e-15,9.332419e+02
1,512,17,30,6.886231e-15,9.332410e+02
1,512,17,31,6.872192e-15,9.332410e+02
1,512,17,32,1.014453e-14,9.332419e+02
1,512,17,33,1.014453e-14,9.332419e+02
1,512,17,34,9.963785e-15,9.332419e+02
1,512,17,35,9.960843e-15,9.332419e+02
1,512,17,36,9.960843e-15,9.332419e+02
1,512,17,37,7.234978e-15,9.689847e+02
1,512,17,38,7.234978e-15,9.689847e+02
1,512,17,39,7.234978e-15,9.689847e+02
1,512,17,40,8.877894e-15,7.441389e+01
1,512,17,41,8.942005e-15,7.679769e+01
1,512,17,42,8.942005e-15,7.679769e+01
1,512,17,43,8.942005e-15,7.679769e+01
