ID,N,M,fre,cond_coarse
1,512,16,7.844396e-15,6.608309e+02
1,512,17,6.563511e-15,9.343302e+02
1,512,18,9.353430e-15,9.901724e+02
1,512,19,8.081193e-15,7.069447e+02
1,512,20,8.761787e-15,1.400652e+03
1,512,21,1.232335e-14,1.103074e+03
1,512,22,7.097631e-15,1.347797e+02
1,512,23,5.138710e-15,2.462367e+02
1,512,24,8.122775e-15,1.718259e+02
1,512,25,6.527800e-15,2.691073e+02
1,512,26,8.327013e-15,1.326385e+02
1,512,27,7.316976e-15,1.517529e+02
1,512,28,6.918960e-15,1.044258e+02
1,512,29,9.333420e-15,2.295619e+02
1,512,30,8.299121e-15,1.079679e+02
1,512,31,7.180171e-15,1.106729e+02
1,512,32,8.172287e-15,7.723873e+01
1,512,33,1.015839e-14,1.233217e+02
1,512,34,8.740959e-15,2.538065e+02
1,512,35,1.129581e-14,1.062891e+02
1,512,36,9.187462e-15,1.570928e+02
1,512,37,7.905033e-15,1.051842e+02
1,512,38,9.079624e-15,8.626623e+01
1,512,39,9.429547e-15,3.269632e+02
1,512,40,7.742965e-15,1.416806e+02
1,512,41,8.649085e-15,1.022133e+02
1,512,42,9.452325e-15,1.229055e+02
1,512,43,8.243098e-15,8.454316e+01
1,512,44,8.818455e-15,1.196552e+02
1,512,45,9.954787e-15,1.315683e+02
1,512,46,7.991219e-15,2.448310e+02
1,512,47,7.959690e-15,1.481401e+02
1,512,48,8.671308e-15,1.696086e+02
1,512,49,1.062570e-14,1.674436e+02
1,512,50,9.231343e-15,1.937938e+02
1,512,51,9.413195e-15,2.547029e+02
1,512,52,7.563454e-15,9.534881e+01
1,512,53,1.814972e-13,3.687839e+01
1,512,54,8.455391e-15,1.313355e+02
1,512,55,8.792922e-15,5.483760e+01
1,512,56,7.254769e-15,1.044150e+02
1,512,57,7.507904e-15,1.070627e+01
1,512,58,8.834031e-15,8.696663e+00
1,512,59,7.705823e-15,1.550891e+02
1,512,60,8.211350e-15,1.048747e+02
1,512,61,9.125601e-15,2.314585e+02
1,512,62,7.887571e-15,4.136097e+01
1,512,63,7.413591e-15,6.721486e+01
1,512,64,7.899078e-15,6.585997e+01
2,512,16,1.101270e-16,1.000000e+00
2,512,17,6.757046e-03,1.000000e+00
2,512,18,1.125867e-16,1.000000e+00
2,512,19,1.132365e-16,1.000000e+00
2,512,20,1.134523e-16,1.000000e+00
2,512,21,1.122386e-16,1.000000e+00
2,512,22,1.149088e-16,1.000000e+00
2,512,23,1.121950e-16,1.000000e+00
2,512,24,1.142257e-16,1.000000e+00
2,512,25,1.128037e-16,1.000000e+00
2,512,26,1.130636e-16,1.000000e+00
2,512,27,1.127604e-16,1.000000e+00
2,512,28,1.120205e-16,1.000000e+00
2,512,29,1.114953e-16,1.000000e+00
2,512,30,6.757046e-03,1.000000e+00
2,512,31,1.125433e-16,1.000000e+00
2,512,32,1.125867e-16,1.000000e+00
2,512,33,1.134092e-16,1.000000e+00
2,512,34,6.757046e-03,1.000000e+00
2,512,35,1.117145e-16,1.000000e+00
2,512,36,1.131069e-16,1.000000e+00
2,512,37,1.130636e-16,1.000000e+00
2,512,38,1.134092e-16,1.000000e+00
2,512,39,1.127170e-16,1.000000e+00
2,512,40,1.135815e-16,1.000000e+00
2,512,41,1.133660e-16,1.000000e+00
2,512,42,1.131069e-16,1.000000e+00
2,512,43,1.139255e-16,1.000000e+00
2,512,44,1.131933e-16,1.000000e+00
2,512,45,1.130636e-16,1.000000e+00
2,512,46,1.121950e-16,1.000000e+00
2,512,47,1.116707e-16,1.000000e+00
2,512,48,1.131069e-16,1.000000e+00
2,512,49,1.120642e-16,1.000000e+00
2,512,50,1.131069e-16,1.000000e+00
2,512,51,6.757046e-03,1.000000e+00
2,512,52,1.125433e-16,1.000000e+00
2,512,53,1.134092e-16,1.000000e+00
2,512,54,1.131069e-16,1.000000e+00
2,512,55,1.126736e-16,1.000000e+00
2,512,56,1.128904e-16,1.000000e+00
2,512,57,1.135815e-16,1.000000e+00
2,512,58,1.113197e-16,1.000000e+00
2,512,59,1.123802e-16,1.000000e+00
2,512,60,1.134523e-16,1.000000e+00
2,512,61,1.130636e-16,1.000000e+00
2,512,62,1.127170e-16,1.000000e+00
2,512,63,1.128904e-16,1.000000e+00
2,512,64,1.124128e-16,1.000000e+00
3,512,16,1.218878e-16,2.626329e+02
3,512,17,6.757046e-03,2.913600e+02
3,512,18,1.282115e-16,2.668590e+02
3,512,19,1.216066e-16,2.615776e+02
3,512,20,1.224509e-16,2.647434e+02
3,512,21,1.189224e-16,2.668590e+02
3,512,22,1.234652e-16,2.679893e+02
3,512,23,1.175832e-16,2.679893e+02
