ID,N,fre,cond_coarse,label,rating
1,512,8.172287e-15,77.23873,static_32,1
2,512,1.125867e-16,1,static_32,1
3,512,1.226903e-16,254.1908,static_32,1
4,512,1.049955e-14,93.25489,static_32,1
5,512,1.693281e-15,652.5068,static_32,1
6,512,9.929575000000001e-17,1.018825,static_32,1
7,512,2.77088e-16,3,static_32,1
8,512,4.19059e-5,50919170000000,static_32,1
9,512,2.453149e-4,7742146e9,static_32,1
10,512,5.244001e-4,1.007899,static_32,1
11,512,0.001731783,531259700000000,static_32,1
12,512,9.98695e-5,2040959000000,static_32,1
13,512,0.3329812,2700246e10,static_32,1
14,512,1.521067e-8,1437343000,static_32,1
15,512,1.538282e-4,14419120000000,static_32,1
16,512,2.656357e-15,20.92126,static_32,1
17,512,1.168314e-16,1,static_32,1
18,512,9.551070000000001e-17,1.732051,static_32,1
19,512,1.073543e-16,1.027486,static_32,1
20,512,1.120096e-16,1.698919,static_32,1
1,512,5.13871e-15,246.2367,static_min_fre,0.6287970552184474
2,512,1.10127e-16,1,static_min_fre,0.9781528368803776
3,512,1.175832e-16,267.9893,static_min_fre,0.9583740523904497
4,512,3.358105e-15,142.9429,static_min_fre,0.31983323094799304
5,512,1.405627e-15,277.8401,static_min_fre,0.8301203403333529
6,512,9.583661000000001e-17,1.030221,static_min_fre,0.9651632622745687
7,512,2.461977e-16,3.000023,static_min_fre,0.8885180881164108
8,512,4.19059e-5,50919170000000,static_min_fre,1
9,512,5.402161e-6,50344570000000,static_min_fre,0.0220213325811029
10,512,5.244001e-4,1.008103,static_min_fre,1
11,512,7.827134e-5,836659200000000,static_min_fre,0.045196967518447755
12,512,6.070812e-5,17646720000000,static_min_fre,0.6078744761914298
13,512,0.02667859,Inf,static_min_fre,0.08012040920027917
14,512,4.060721e-9,1422609000,static_min_fre,0.2669652947569042
15,512,1.028409e-5,3907332000000,static_min_fre,0.06685438690695204
16,512,1.353026e-15,11.94443,static_min_fre,0.5093539761410081
17,512,1.13519e-16,1,static_min_fre,0.9716480329774357
18,512,8.782373000000001e-17,1.732051,static_min_fre,0.9195171849855566
19,512,1.021428e-16,1.027486,static_min_fre,0.9514551350062364
20,512,1.011775e-16,1.661964,static_min_fre,0.903293110590521
1,512,8.834031e-15,8.696663,static_min_cond,1.0809741508099264
2,512,1.10127e-16,1,static_min_cond,0.9781528368803776
3,512,1.250203e-16,237.3066,static_min_cond,1.0189909063715714
4,512,2.573332e-14,51.36708,static_min_cond,2.450897419413213
5,512,1.652435e-15,19.80845,static_min_cond,0.9758776009416039
6,512,9.929575000000001e-17,1.007245,static_min_cond,1
7,512,2.751113e-16,3,static_min_cond,0.9928661652615776
8,512,4.19059e-5,50919170000000,static_min_cond,1
9,512,1.134487e-4,11517070000000,static_min_cond,0.4624615137523241
10,512,5.244001e-4,1.006004,static_min_cond,1
11,512,0.01373232,130430600000000,static_min_cond,7.929584711248465
12,512,1.498825e-4,2811385000,static_min_cond,1.5007835224968584
13,512,0.3247692,1601807e10,static_min_cond,0.9753379470072184
14,512,1.422119e-8,512811900,static_min_cond,0.9349482961631539
15,512,9.157761e-5,1287457000000,static_min_cond,0.5953239393037167
16,512,3.446309e-15,10.65343,static_min_cond,1.2973817148824498
17,512,1.160333e-16,1,static_min_cond,0.9931687885277416
18,512,1.079032e-16,1.732051,static_min_cond,1.1297498604868355
19,512,1.164855e-16,1.027486,static_min_cond,1.0850566768168577
20,512,1.097934e-16,1.423793,static_min_cond,0.9802141959260635
1,512,3.843285e-15,105.7775,cond_coarse_min_fre,0.47028267607341745
2,512,1.10127e-16,1,cond_coarse_min_fre,0.9781528368803776
3,512,1.179156e-16,255.7737,cond_coarse_min_fre,0.9610833130247461
4,512,4.215297e-15,214.6998,cond_coarse_min_fre,0.40147406317413603
5,512,1.458852e-15,629.5881,cond_coarse_min_fre,0.8615533984022735
6,512,9.444856000000001e-17,1.0264,cond_coarse_min_fre,0.9511843155422061
7,512,2.491268e-16,3,cond_coarse_min_fre,0.8990890980482735
8,512,4.19059e-5,65610430000000,cond_coarse_min_fre,1
9,512,1.462802e-6,49513060000000,cond_coarse_min_fre,0.0059629561840719835
10,512,5.244001e-4,1.007009,cond_coarse_min_fre,1
11,512,4.736929e-6,744108500000000,cond_coarse_min_fre,0.0027352901604877746
12,512,7.963661e-5,27170540000,cond_coarse_min_fre,0.7974067157640721
13,512,0.002530917,880381e11,cond_coarse_min_fre,0.00760078046448268
14,512,2.688553e-9,1516047000,cond_coarse_min_fre,0.17675440989778884
15,512,4.688429e-6,2898787000000,cond_coarse_min_fre,0.030478345322899184
16,512,1.291586e-15,32.41121,cond_coarse_min_fre,0.4862245549073411
17,512,1.13519e-16,1,cond_coarse_min_fre,0.9716480329774357
18,512,9.099245e-17,1.732051,cond_coarse_min_fre,0.9526937819532262
19,512,1.052841e-16,1.027486,cond_coarse_min_fre,0.9807161892909739
20,512,9.673512000000001e-17,1.641973,cond_coarse_min_fre,0.8636324029368913
1,512,7.945433e-15,7.801896,cond_coarse_min_cond,0.9722410629974205
2,512,1.10127e-16,1,cond_coarse_min_cond,0.9781528368803776
3,512,1.232868e-16,233.0856,cond_coarse_min_cond,1.0048618350431942
4,512,1.05272e-14,51.61991,cond_coarse_min_cond,1.002633446195313
5,512,1.654751e-15,11.63466,cond_coarse_min_cond,0.9772453597483229
6,512,9.634563000000001e-17,1.012779,cond_coarse_min_cond,0.9702895642562749
7,512,2.751113e-16,3,cond_coarse_min_cond,0.9928661652615776
8,512,4.19059e-5,50919170000000,cond_coarse_min_cond,1
9,512,3.785933e-4,9865836000000,cond_coarse_min_cond,1.543295168781024
10,512,5.244001e-4,1.005792,cond_coarse_min_cond,1
11,512,0.004314157,138479300000000,cond_coarse_min_cond,2.4911648861318074
12,512,1.260696e-4,22973580000,cond_coarse_min_cond,1.2623433580822974
13,512,0.543016,951474e10,cond_coarse_min_cond,1.6307707462163032
