ID,n_sample,min_fre,cond_coarse
1,91,2.055930e-15,1.436056e+02
2,31,9.287537e-17,1.000000e+00
3,14,1.286335e-16,2.621052e+02
4,91,2.051278e-15,1.436056e+02
5,22,3.378596e-15,3.765128e+02
6,96,9.086554e-17,1.019447e+00
7,60,1.847974e-16,3.000001e+00
8,0,1.399526e-04,3.923123e+13
9,42,1.021104e-06,5.676352e+13
10,12,9.021010e-04,1.020322e+00
11,83,2.750552e-05,2.503046e+14
12,71,1.299348e-06,2.669946e+15
13,30,1.065706e+14,5.686377e+16
14,80,6.656600e-06,8.440153e+14
15,77,1.154697e+03,inf
16,72,6.809949e-10,3.823402e+07
17,38,1.091224e-16,1.000000e+00
18,81,9.426064e-17,1.732051e+00
19,21,1.011948e-16,1.027486e+00
20,15,1.092232e-16,1.668448e+00
